"","mu.A1A2hat.sm","mu.A1A3hat.sm","mu.A2A1hat.sm","mu.A2A3hat.sm","mu.A3A1hat.sm","mu.A3A2hat.sm","var.A1A2hat.sm","var.A1A3hat.sm","var.A2A1hat.sm","var.A2A3hat.sm","var.A3A1hat.sm","var.A3A2hat.sm","mu.A1A2hat.ipw","mu.A1A3hat.ipw","mu.A2A1hat.ipw","mu.A2A3hat.ipw","mu.A3A1hat.ipw","mu.A3A2hat.ipw","var.A1A2hat.ipw","var.A1A3hat.ipw","var.A2A1hat.ipw","var.A2A3hat.ipw","var.A3A1hat.ipw","var.A3A2hat.ipw","mu.A1A2hat.ipwn","mu.A1A3hat.ipwn","mu.A2A1hat.ipwn","mu.A2A3hat.ipwn","mu.A3A1hat.ipwn","mu.A3A2hat.ipwn","var.A1A2hat.ipwn","var.A1A3hat.ipwn","var.A2A1hat.ipwn","var.A2A3hat.ipwn","var.A3A1hat.ipwn","var.A3A2hat.ipwn","mu.A1A2hat.g","mu.A1A3hat.g","mu.A2A1hat.g","mu.A2A3hat.g","mu.A3A1hat.g","mu.A3A2hat.g","var.A1A2hat.g","var.A1A3hat.g","var.A2A1hat.g","var.A2A3hat.g","var.A3A1hat.g","var.A3A2hat.g","n.A1A2","n.A1A3","n.A2A1","n.A2A3","n.A3A1","n.A3A2","rn.A1A2","rn.A1A3","rn.A2A1","rn.A2A3","rn.A3A1","rn.A3A2","NR","est.opt.sm","est.opt.ipw","est.opt.ipwn","est.opt.g","est.wor.sm","est.wor.ipw","est.wor.ipwn","est.wor.g"
"11",0.80952380952381,0.83625730994152,0.662420382165605,0.666666666666667,0.508474576271186,0.4875,0.000917827448439693,0.000800766207666036,0.00142432878635146,0.00151171579743008,0.00211803543692393,0.003123046875,0.663171372706216,0.714376301923796,0.616000599585212,0.558560159063234,0.431622804518561,0.241955996424164,0.00288618821727874,0.00317217941539677,0.00343282209773681,0.00299183257388381,0.00298497547859882,0.00147124426761067,0.695977099767255,0.748068519390026,0.545613979927264,0.535233013869499,0.442659558022678,0.252664033813575,0.0016109231743854,0.00145243795829071,0.00232950994915868,0.00214040461238066,0.00203564940172381,0.00229260560916147,0.698630136986301,0.751813053988719,0.55276996453467,0.52191742081448,0.4471875,0.255654761904762,0.00144877273286829,0.00133303043221622,0.00161529894278425,0.00171528569282372,0.00204389465332031,0.00140032848922059,168,171,157,147,118,80,136,143,104,98,60,39,339,2,2,2,2,6,6,6,6
"12",0.753926701570681,0.8,0.626760563380282,0.643478260869565,0.373737373737374,0.293478260869565,0.000971315341515364,0.000914285714285714,0.00164740675754587,0.00199490424919865,0.00236421968898247,0.00225379099202762,0.672133292602352,0.633420858304417,0.533918811033801,0.420681197760385,0.275128153158469,0.171201995878278,0.00279873262709216,0.00251941473147272,0.00298971340998834,0.00238572865745821,0.00215969203442567,0.00114689637622913,0.63805731934136,0.695759346491704,0.525552001096784,0.475767711609094,0.296993358925915,0.128428875324767,0.0017401679597265,0.00137851081205774,0.00200464007591557,0.00193788777160552,0.00173740109138996,0.00140920620548818,0.659420289855073,0.669811320754717,0.542526315789474,0.44703947368421,0.288342559426897,0.175957561589642,0.00126227609404019,0.00150474227982457,0.00175828722165525,0.00196418580305833,0.00186559307903009,0.00103713704570523,191,175,142,115,99,92,144,140,89,74,37,27,297,2,1,2,2,6,6,6,6
"13",0.817073170731707,0.745,0.727272727272727,0.666666666666667,0.511111111111111,0.419753086419753,0.000911369539037449,0.000949875,0.00128796823011699,0.00154320987654321,0.0027764060356653,0.00300691892420796,0.653660795581854,0.78585145836603,0.620006538245949,0.545589205210351,0.362586069223847,0.225461894525403,0.00277418880761316,0.00366755498536443,0.00301134897007754,0.00320277021059516,0.00298515412634149,0.00155026396979246,0.705697024691201,0.644640804582321,0.65418892262903,0.492838921161832,0.429662351280917,0.238520631419167,0.00154210245806564,0.00216959510086017,0.00155143134643506,0.002572160329823,0.00201802248263891,0.00168213489784503,0.653502235469449,0.676024590163934,0.635514018691589,0.514018691588785,0.425998614638652,0.280742145178765,0.0017495504750559,0.0011623276270233,0.0016663671630885,0.001697192125773,0.0026823212481173,0.00199334718273577,164,200,154,144,90,81,134,149,112,96,46,34,338,1,2,1,2,6,6,6,6
"14",0.691780821917808,0.741496598639456,0.672727272727273,0.666666666666667,0.528846153846154,0.454545454545455,0.00146041175578445,0.00130394144792907,0.0013343350864012,0.00142450142450142,0.00239584518661812,0.00281743050338092,0.526130922095182,0.591155506812314,0.597655435061773,0.562585968917052,0.451170282740462,0.294544474950715,0.0025674580522979,0.00299072753305356,0.00288972071868554,0.00289420187889808,0.00375512833774733,0.00247319459149485,0.560741251718818,0.632752620436485,0.564420992850991,0.523570378648742,0.457162349563062,0.304582260004078,0.00178017613378022,0.00175850917710843,0.00192661680964588,0.00216214890357878,0.0024373701376578,0.00224163226837914,0.563761034047919,0.637562034739454,0.562046279491833,0.52161605764282,0.455555555555556,0.314285714285714,0.00174150797236212,0.00177457871961481,0.00154273008493476,0.00159922549307746,0.00239559756515775,0.00213411078717201,146,147,165,156,104,88,101,109,111,104,55,40,314,2,3,2,2,6,6,6,6
"15",0.735955056179775,0.811428571428571,0.664634146341463,0.669354838709677,0.42156862745098,0.4,0.00109171467114157,0.000874355685131195,0.00135911949913669,0.00178483015004532,0.00239067176274585,0.00342857142857143,0.629797725319754,0.706009212622823,0.638274067279015,0.472569341006876,0.339539340477643,0.258401672005204,0.00267571920104626,0.00306416446056691,0.00335786438163485,0.00287769212078982,0.00273238156871495,0.00795529565509085,0.602141229546848,0.736356333873872,0.603125392499901,0.48054783641576,0.364076773662887,0.25514828772518,0.0018809141164953,0.00137266793388654,0.00181827173739542,0.00236600560967123,0.00198066578676943,0.00598817973585028,0.617371794871795,0.718346774193548,0.600207684319834,0.463551401869159,0.361932227829849,0.215442092154421,0.00140538352356538,0.00141850115374085,0.00152492197673167,0.00197420955835836,0.00214772568859166,0.00157961862173221,178,175,164,124,102,70,131,142,109,83,43,28,323,2,2,2,2,6,6,6,6
"16",0.812121212121212,0.772486772486772,0.676691729323308,0.63302752293578,0.523076923076923,0.539325842696629,0.000924729387539305,0.000929899253014507,0.00164496265254691,0.00213122640496854,0.00191898042785617,0.00279161211344045,0.630873717645527,0.73846148721698,0.631226033335955,0.473680856169609,0.480595029044471,0.30058307381346,0.00258994838887557,0.00333574044226518,0.00415849584092265,0.00355348603816646,0.00324543244568873,0.00188049467681588,0.718255049740506,0.662802669827183,0.605774333570082,0.494391469517828,0.449179897601282,0.361358504209176,0.00129128287676143,0.00194677493199975,0.00219174447073727,0.00248046816799416,0.00223757716874479,0.00181689655906523,0.672995780590717,0.69760900140647,0.612038782655535,0.481624758220503,0.460332225913621,0.317968253968254,0.0016615757445527,0.00123269310345489,0.00191771630247392,0.00240812954411742,0.00186989364993845,0.00190128936463945,165,189,133,109,130,89,134,146,90,69,68,48,340,1,2,1,2,5,6,6,6
"17",0.794285714285714,0.823863636363636,0.674242424242424,0.654676258992806,0.526315789473684,0.471153846153846,0.000933690962099125,0.000824501960462059,0.00166393619389487,0.00162644068276252,0.00218690771249453,0.00239584518661812,0.68206517671252,0.720972641441052,0.509978610360651,0.533192534677265,0.453557419782261,0.337455970096249,0.00296703941483783,0.00312588889501287,0.00279019334668337,0.00301433693125932,0.00344524305826549,0.00239148150801911,0.675981885206753,0.745074574954108,0.547175858158007,0.523032223971368,0.431293277650839,0.311901675932792,0.00175820216732052,0.00138306070050904,0.00190719266269516,0.00214985762446217,0.00246075984314924,0.00228990501684975,0.681174089068826,0.730635551142006,0.534282133906194,0.536989795918367,0.428977272727273,0.324596774193548,0.00139106479643974,0.00134433880105749,0.00192479125915192,0.00179450954464525,0.00209025156817399,0.00174879623617452,175,176,132,139,114,104,139,145,89,91,60,49,333,2,2,2,2,6,6,6,6
"18",0.766871165644172,0.775147928994083,0.694805194805195,0.664,0.491935483870968,0.516129032258065,0.00109680847207191,0.00103132317852229,0.00137695413036955,0.001784832,0.00201560454499681,0.0026853747776174,0.598730670198698,0.646344752115448,0.621624483528783,0.452766932973737,0.47969133019739,0.350690972365858,0.00257364115022376,0.00287048840229519,0.0032548380928856,0.00251625638022906,0.00380868072203854,0.00294159538395794,0.648930733099516,0.669144667972338,0.636448747280432,0.457717591509275,0.404517374217914,0.359770493665265,0.00156241182068015,0.00162429985089893,0.00162287970515409,0.00236178138481262,0.00279005600471187,0.00249873380459353,0.636268708666899,0.673896083632392,0.622283656937122,0.458539603960396,0.419491525423729,0.342820594819316,0.00154143818663472,0.00145057492518291,0.00161774351381828,0.0017666095316391,0.001893145121868,0.00216108671851058,163,169,154,125,124,93,125,131,107,83,61,48,327,2,2,2,2,5,6,6,6
"19",0.745222929936306,0.747126436781609,0.710344827586207,0.669291338582677,0.524193548387097,0.494623655913978,0.00120933576199652,0.00108579611634267,0.00141900036901882,0.00174283813134555,0.00201140864690678,0.00268786123574482,0.568546103809672,0.661264224735406,0.634152132803724,0.509092646787824,0.465340391241254,0.322303705785724,0.00252754929455935,0.00300996769832826,0.0035655289833521,0.00311689104559287,0.00315634459524171,0.00311734712340033,0.611966162397034,0.651136358720162,0.636252871596064,0.510874760668216,0.459317062173426,0.309027031673159,0.00168875585700399,0.00169918275828987,0.0018381693960673,0.00234688436792654,0.0021148057122844,0.00289362556319135,0.591056437536364,0.659408432976715,0.630653266331658,0.507537688442211,0.451610614445863,0.292298850574713,0.00164841212227136,0.00141132881568645,0.00175050541843329,0.00198923589061826,0.00195172407529678,0.00158418841523881,157,174,145,127,124,93,117,130,103,85,65,46,326,2,2,2,2,6,6,6,6
"20",0.819767441860465,0.805882352941176,0.666666666666667,0.583333333333333,0.495934959349593,0.476744186046512,0.000859004553058221,0.000920211683289233,0.00157604412923562,0.00184132996632997,0.00203238597922366,0.00290068798973675,0.64289048338394,0.632641426672599,0.593055751969531,0.498268350338533,0.46191928448739,0.272319153471265,0.00257231373256502,0.00265453231027887,0.00339824905450061,0.00361601002998124,0.00341486434053202,0.0019360627342929,0.74190068939286,0.675283547563103,0.589050676679435,0.411323879183665,0.422398677418058,0.294703177750945,0.00115166864100896,0.00163293808850831,0.00194901596490412,0.00304259076362233,0.00240779376795756,0.0019513771012741,0.726091476091476,0.696756756756757,0.571437942797166,0.429051530993279,0.43415359653867,0.279188419553868,0.00137497771180901,0.00143474589856474,0.00185556417705511,0.00167459590608967,0.00195137548579438,0.00177043919727615,172,170,141,132,123,86,141,137,94,77,61,41,327,1,1,1,1,6,6,6,6
